domain,date,records
Condition occurrence,1996-10-01T00:00:00Z,1
Condition occurrence,1996-11-01T00:00:00Z,1
Condition occurrence,1996-12-01T00:00:00Z,1
Condition occurrence,1997-06-01T00:00:00Z,2
Condition occurrence,1997-07-01T00:00:00Z,1
Condition occurrence,1997-09-01T00:00:00Z,1
Condition occurrence,1997-10-01T00:00:00Z,2
Condition occurrence,1997-11-01T00:00:00Z,1
Condition occurrence,1998-04-01T00:00:00Z,5
Condition occurrence,1998-07-01T00:00:00Z,2
Condition occurrence,1998-09-01T00:00:00Z,1
Condition occurrence,1998-10-01T00:00:00Z,3
Condition occurrence,1998-11-01T00:00:00Z,3
Condition occurrence,1998-12-01T00:00:00Z,2
Condition occurrence,1999-04-01T00:00:00Z,1
Condition occurrence,1999-05-01T00:00:00Z,2
Condition occurrence,1999-06-01T00:00:00Z,2
Condition occurrence,1999-10-01T00:00:00Z,1
Condition occurrence,2000-06-01T00:00:00Z,2
Condition occurrence,2000-09-01T00:00:00Z,1
Condition occurrence,2000-12-01T00:00:00Z,1
Condition occurrence,2001-01-01T00:00:00Z,2
Condition occurrence,2001-04-01T00:00:00Z,1
Condition occurrence,2001-05-01T00:00:00Z,4
Condition occurrence,2001-06-01T00:00:00Z,2
Condition occurrence,2001-07-01T00:00:00Z,2
Condition occurrence,2001-08-01T00:00:00Z,3
Condition occurrence,2001-10-01T00:00:00Z,1
Condition occurrence,2002-01-01T00:00:00Z,1
Condition occurrence,2002-03-01T00:00:00Z,2
Condition occurrence,2002-04-01T00:00:00Z,1
Condition occurrence,2002-05-01T00:00:00Z,2
Condition occurrence,2002-07-01T00:00:00Z,3
Condition occurrence,2002-08-01T00:00:00Z,1
Condition occurrence,2002-09-01T00:00:00Z,1
Condition occurrence,2002-10-01T00:00:00Z,1
Condition occurrence,2002-12-01T00:00:00Z,2
Condition occurrence,2003-01-01T00:00:00Z,2
Condition occurrence,2003-02-01T00:00:00Z,3
Condition occurrence,2003-04-01T00:00:00Z,4
Condition occurrence,2003-05-01T00:00:00Z,5
Condition occurrence,2003-06-01T00:00:00Z,3
Condition occurrence,2003-07-01T00:00:00Z,1
Condition occurrence,2003-08-01T00:00:00Z,3
Condition occurrence,2004-01-01T00:00:00Z,1
Condition occurrence,2004-11-01T00:00:00Z,1
Condition occurrence,2004-12-01T00:00:00Z,2
Condition occurrence,2005-01-01T00:00:00Z,7
Condition occurrence,2005-02-01T00:00:00Z,3
Condition occurrence,2005-03-01T00:00:00Z,2
Condition occurrence,2005-04-01T00:00:00Z,2
Condition occurrence,2005-05-01T00:00:00Z,3
