CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,P25_VALUE,MEDIAN_VALUE,P75_VALUE,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
4226121,Retinopathy due to type 2 diabetes mellitus,2,0.0184,1.0,1,1,1,7,7
4309027,Idiopathic atrophic hypothyroidism,2,0.0184,1.0,1,1,1,7,7
31967,Nausea,2,0.0184,1.0,16,16,28,7,7
4142905,Fracture of rib,2,0.0184,1.0,83,83,85,7,7
4029498,Seizure disorder,2,0.0184,1.0,1,1,1,7,7
75036,"Localized, primary osteoarthritis of the hand",2,0.0184,1.0,1,1,1,7,7
378253,Headache,2,0.0184,1.0,13,13,23,7,7
197500,Primary malignant neoplasm of colon,2,0.0184,1.0,438,438,715,7,7
4096715,Vomiting symptom,2,0.0184,1.0,16,16,28,7,8
254282,Primary malignant neoplasm of soft palate,1,0.0092,1.0,4494,4494,4494,7,8
44782746,Acute deep venous thrombosis,1,0.0092,1.0,4,4,4,7,8
37017023,Recurrent rectal polyp,1,0.0092,1.0,503,503,503,8,8
4048171,Perennial allergic rhinitis with seasonal variation,1,0.0092,1.0,5981,5981,5981,8,8
4002498,Overlapping malignant neoplasm of tonsil,1,0.0092,1.0,0,0,0,8,8
4182983,Gingival enlargement,1,0.0092,1.0,4697,4697,4697,8,8
80502,Osteoporosis,1,0.0092,1.0,1,1,1,8,8
605427,Perforation of root canal wall due to endodontic procedure,1,0.0092,1.0,4473,4473,4473,8,8
435850,Cyst of jaw,1,0.0092,2.0,1323,1323,19299,8,1
313459,Sleep apnea,1,0.0092,1.0,1,1,1,8,8
4230399,Closed fracture of hip,1,0.0092,1.0,47,47,47,8,8
40397007,Supplemental tooth,1,0.0092,1.0,12628,12628,12628,8,8
4295624,Squamous cell carcinoma of skin of ear,1,0.0092,1.0,7357,7357,7357,8,8
133794,Chronic gingivitis,1,0.0092,1.0,1484,1484,1484,8,8
435569,Disorder of jaw,1,0.0092,1.0,210,210,210,8,8
319049,Acute respiratory failure,1,0.0092,1.0,13,13,13,8,8
381316,Cerebrovascular accident,1,0.0092,1.0,0,0,0,8,8
438783,Erosion of teeth,1,0.0092,1.0,12900,12900,12900,8,8
4218106,Alcoholism,1,0.0092,1.0,1,1,1,8,9
4180790,Malignant tumor of colon,1,0.0092,1.0,1,1,1,8,9
435567,Atrophy of edentulous maxillary alveolar ridge,1,0.0092,2.0,2597,2597,4823,9,1
442588,Obstructive sleep apnea syndrome,1,0.0092,1.0,1,1,1,9,9
4209011,Pulmonic valve stenosis,1,0.0092,1.0,1,1,1,9,9
373166,Benign neoplasm of mandible,1,0.0092,1.0,0,0,0,9,9
438694,Primary malignant neoplasm of hard palate,1,0.0092,1.0,749,749,749,9,9
4146173,Injury of tendon of the rotator cuff of shoulder,1,0.0092,1.0,70,70,70,9,9
256633,Primary malignant neoplasm of base of tongue,1,0.0092,1.0,1169,1169,1169,9,9
46269925,Partial edentulism class 1 due to caries,1,0.0092,1.0,1407,1407,1407,9,9
134438,Contact dermatitis,1,0.0092,1.0,386,386,386,9,9
436043,Overlapping malignant neoplasm of tongue,1,0.0092,1.0,4753,4753,4753,9,9
436446,Cracked tooth,1,0.0092,1.0,11872,11872,11872,9,9
4025325,Periapical abscess,1,0.0092,2.0,1533,1533,2373,9,1
37018293,Inflammatory disorder of jaw region,1,0.0092,1.0,1484,1484,1484,9,9
432833,Primary malignant neoplasm of oropharynx,1,0.0092,1.0,20496,20496,20496,9,9
31509,Primary malignant neoplasm of tonsil,1,0.0092,1.0,6363,6363,6363,9,9
261325,Pulmonary emphysema,1,0.0092,1.0,1,1,1,9,9
40479422,Injury of medial collateral ligament of knee,1,0.0092,1.0,80,80,80,9,9
74396,Temporomandibular joint disorder,1,0.0092,1.0,7420,7420,7420,9,9
380378,Epilepsy,1,0.0092,1.0,1,1,1,10,10
440086,Child attention deficit disorder,1,0.0092,1.0,3941,3941,3941,10,10
45768439,Acute pulmonary embolism,1,0.0092,1.0,3,3,3,10,10
4120613,Acquired coagulation disorder,1,0.0092,1.0,8,8,8,10,10
201388,Congenital uterine anomaly,1,0.0092,1.0,19,19,19,10,10
46269931,Partial edentulism due to trauma,1,0.0092,1.0,133,133,133,10,10
43530950,Complication occurring during pregnancy,1,0.0092,1.0,11,11,11,10,10
40481091,Partial edentulism,1,0.0092,1.0,4089,4089,4089,10,10
4341247,Protracted diarrhea,1,0.0092,1.0,1,1,1,10,10
136496,Cellulitis and abscess of face,1,0.0092,1.0,17402,17402,17402,10,10
4216978,Traumatic dislocation of temporomandibular joint,1,0.0092,1.0,48,48,48,10,10
4129902,Neoplasm of prostate,1,0.0092,1.0,1,1,1,10,10
441331,Exfoliation of teeth due to systemic disease,1,0.0092,1.0,3871,3871,3871,10,10
200970,Carcinoma in situ of prostate,1,0.0092,1.0,1,1,1,10,10
4245614,Bleeding from anus,1,0.0092,1.0,1,1,1,10,10
73231,Pain of temporomandibular joint,1,0.0092,1.0,805,805,805,10,10
201332,Alveolitis of jaw,1,0.0092,1.0,3311,3311,3311,10,10
45772090,Dental caries on pit and fissure surface penetrating into pulp,1,0.0092,1.0,4396,4396,4396,10,10
