CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
4270024,Acute non-ST segment elevation myocardial infarction,3,0.0275,1.0,6,6
375671,Concussion with loss of consciousness,3,0.0275,1.0,6,6
4055754,Impacted molars,3,0.0275,1.0,6,6
4329847,Myocardial infarction,3,0.0275,1.0,6,6
4214376,Hyperglycemia,3,0.0275,1.0,6,6
37016354,Neuropathy due to type 2 diabetes mellitus,2,0.0184,1.0,6,6
435524,Sleep disorder,2,0.0184,1.0,6,6
4309006,Kidney transplant failure and rejection,2,0.0184,1.0,6,6
4296205,Partial thickness burn,2,0.0184,1.0,6,6
197500,Primary malignant neoplasm of colon,2,0.0184,1.0,6,6
378253,Headache,2,0.0184,1.0,6,6
4035415,Tear of meniscus of knee,2,0.0184,1.0,6,6
4152936,Laceration of thigh,2,0.0184,1.0,6,6
314754,Wheezing,2,0.0184,1.0,6,6
4096715,Vomiting symptom,2,0.0184,1.0,6,6
4029498,Seizure disorder,2,0.0184,1.0,6,7
312437,Dyspnea,2,0.0184,1.0,6,7
4278672,Fracture of forearm,2,0.0184,1.0,6,7
4142905,Fracture of rib,2,0.0184,1.0,7,7
4112853,Malignant tumor of breast,2,0.0184,1.0,7,7
198199,Pyelonephritis,2,0.0184,1.0,7,7
4084167,Acute allergic reaction,2,0.0184,1.0,7,7
4132546,Traumatic brain injury,2,0.0184,1.0,7,7
4309027,Idiopathic atrophic hypothyroidism,2,0.0184,1.0,7,7
4143203,Fetus with chromosomal abnormality,2,0.0184,1.0,7,7
193782,End-stage renal disease,2,0.0184,1.0,7,7
45768755,Localized chronic periodontitis,2,0.0184,1.0,7,7
40486433,Perennial allergic rhinitis,2,0.0184,1.0,7,7
4226121,Retinopathy due to type 2 diabetes mellitus,2,0.0184,1.0,7,7
31967,Nausea,2,0.0184,1.0,7,7
36674642,Sepsis caused by virus,2,0.0184,1.0,7,7
75036,"Localized, primary osteoarthritis of the hand",2,0.0184,1.0,7,7
43530656,Nonproliferative retinopathy due to type 2 diabetes mellitus,2,0.0184,1.0,7,7
4051466,Childhood asthma,2,0.0184,1.0,7,8
313459,Sleep apnea,1,0.0092,1.0,7,8
256633,Primary malignant neoplasm of base of tongue,1,0.0092,1.0,7,8
4295624,Squamous cell carcinoma of skin of ear,1,0.0092,1.0,8,8
4180790,Malignant tumor of colon,1,0.0092,1.0,8,8
4002498,Overlapping malignant neoplasm of tonsil,1,0.0092,1.0,8,8
4216978,Traumatic dislocation of temporomandibular joint,1,0.0092,1.0,8,8
46269931,Partial edentulism due to trauma,1,0.0092,1.0,8,8
319049,Acute respiratory failure,1,0.0092,1.0,8,8
37018293,Inflammatory disorder of jaw region,1,0.0092,1.0,8,8
261325,Pulmonary emphysema,1,0.0092,1.0,8,8
441331,Exfoliation of teeth due to systemic disease,1,0.0092,1.0,8,8
440086,Child attention deficit disorder,1,0.0092,1.0,8,8
4218106,Alcoholism,1,0.0092,1.0,8,8
4146173,Injury of tendon of the rotator cuff of shoulder,1,0.0092,1.0,8,8
45772090,Dental caries on pit and fissure surface penetrating into pulp,1,0.0092,1.0,8,8
381316,Cerebrovascular accident,1,0.0092,1.0,8,8
40479422,Injury of medial collateral ligament of knee,1,0.0092,1.0,8,8
44782746,Acute deep venous thrombosis,1,0.0092,1.0,8,9
40481091,Partial edentulism,1,0.0092,1.0,8,9
442588,Obstructive sleep apnea syndrome,1,0.0092,1.0,8,9
201332,Alveolitis of jaw,1,0.0092,1.0,9,9
200970,Carcinoma in situ of prostate,1,0.0092,1.0,9,9
380378,Epilepsy,1,0.0092,1.0,9,9
4048171,Perennial allergic rhinitis with seasonal variation,1,0.0092,1.0,9,9
435567,Atrophy of edentulous maxillary alveolar ridge,1,0.0092,2.0,9,1
4209011,Pulmonic valve stenosis,1,0.0092,1.0,9,9
432833,Primary malignant neoplasm of oropharynx,1,0.0092,1.0,9,9
4129902,Neoplasm of prostate,1,0.0092,1.0,9,9
605427,Perforation of root canal wall due to endodontic procedure,1,0.0092,1.0,9,9
436043,Overlapping malignant neoplasm of tongue,1,0.0092,1.0,9,9
4120613,Acquired coagulation disorder,1,0.0092,1.0,9,9
438694,Primary malignant neoplasm of hard palate,1,0.0092,1.0,9,9
4341247,Protracted diarrhea,1,0.0092,1.0,9,9
4230399,Closed fracture of hip,1,0.0092,1.0,9,9
373166,Benign neoplasm of mandible,1,0.0092,1.0,9,9
37017023,Recurrent rectal polyp,1,0.0092,1.0,9,9
133794,Chronic gingivitis,1,0.0092,1.0,9,10
435850,Cyst of jaw,1,0.0092,2.0,9,1
73231,Pain of temporomandibular joint,1,0.0092,1.0,10,10
43530950,Complication occurring during pregnancy,1,0.0092,1.0,10,10
40397007,Supplemental tooth,1,0.0092,1.0,10,10
74396,Temporomandibular joint disorder,1,0.0092,1.0,10,10
4025325,Periapical abscess,1,0.0092,4.0,10,1
46269925,Partial edentulism class 1 due to caries,1,0.0092,1.0,10,10
436446,Cracked tooth,1,0.0092,1.0,10,10
4245614,Bleeding from anus,1,0.0092,1.0,10,10
136496,Cellulitis and abscess of face,1,0.0092,1.0,10,10
435569,Disorder of jaw,1,0.0092,1.0,10,10
134438,Contact dermatitis,1,0.0092,1.0,10,10
4182983,Gingival enlargement,1,0.0092,1.0,10,10
254282,Primary malignant neoplasm of soft palate,1,0.0092,1.0,10,10
31509,Primary malignant neoplasm of tonsil,1,0.0092,1.0,10,10
438783,Erosion of teeth,1,0.0092,1.0,10,10
45768439,Acute pulmonary embolism,1,0.0092,1.0,10,10
80502,Osteoporosis,1,0.0092,1.0,10,10
201388,Congenital uterine anomaly,1,0.0092,1.0,10,10
