0	synthea	1.6.5	2019-03-12	\N	\N	1120
10	1910	8507	\N	\N	\N	13
10	1914	8507	\N	\N	\N	6
10	1929	8507	\N	\N	\N	6
10	1934	8507	\N	\N	\N	10
10	1936	8532	\N	\N	\N	7
10	1940	8532	\N	\N	\N	7
10	1942	8532	\N	\N	\N	6
10	1944	8507	\N	\N	\N	9
10	1944	8532	\N	\N	\N	13
10	1945	8532	\N	\N	\N	7
10	1947	8507	\N	\N	\N	7
10	1948	8507	\N	\N	\N	6
10	1950	8532	\N	\N	\N	11
10	1951	8507	\N	\N	\N	7
10	1952	8532	\N	\N	\N	6
10	1954	8532	\N	\N	\N	9
10	1956	8507	\N	\N	\N	12
10	1957	8507	\N	\N	\N	9
10	1957	8532	\N	\N	\N	10
10	1958	8507	\N	\N	\N	6
10	1958	8532	\N	\N	\N	6
10	1959	8507	\N	\N	\N	7
10	1959	8532	\N	\N	\N	11
10	1960	8507	\N	\N	\N	7
10	1960	8532	\N	\N	\N	9
10	1961	8507	\N	\N	\N	7
10	1961	8532	\N	\N	\N	6
10	1962	8532	\N	\N	\N	12
10	1963	8507	\N	\N	\N	8
10	1964	8507	\N	\N	\N	6
10	1966	8507	\N	\N	\N	9
10	1966	8532	\N	\N	\N	9
10	1967	8507	\N	\N	\N	9
10	1967	8532	\N	\N	\N	9
10	1968	8532	\N	\N	\N	6
10	1969	8507	\N	\N	\N	9
10	1969	8532	\N	\N	\N	8
10	1970	8507	\N	\N	\N	11
10	1970	8532	\N	\N	\N	10
10	1971	8507	\N	\N	\N	8
10	1972	8532	\N	\N	\N	8
10	1973	8507	\N	\N	\N	8
10	1973	8532	\N	\N	\N	7
10	1974	8507	\N	\N	\N	10
10	1974	8532	\N	\N	\N	8
10	1975	8532	\N	\N	\N	15
10	1976	8507	\N	\N	\N	9
10	1976	8532	\N	\N	\N	6
10	1977	8507	\N	\N	\N	8
10	1977	8532	\N	\N	\N	6
10	1978	8507	\N	\N	\N	8
10	1979	8532	\N	\N	\N	6
10	1980	8507	\N	\N	\N	9
10	1980	8532	\N	\N	\N	11
10	1981	8532	\N	\N	\N	9
10	1982	8507	\N	\N	\N	6
10	1983	8532	\N	\N	\N	10
10	1984	8507	\N	\N	\N	9
10	1984	8532	\N	\N	\N	7
10	1985	8507	\N	\N	\N	14
10	1986	8507	\N	\N	\N	7
10	1986	8532	\N	\N	\N	12
10	1987	8507	\N	\N	\N	7
10	1987	8532	\N	\N	\N	8
10	1988	8507	\N	\N	\N	6
10	1988	8532	\N	\N	\N	8
10	1989	8532	\N	\N	\N	6
10	1990	8507	\N	\N	\N	16
10	1990	8532	\N	\N	\N	8
10	1991	8507	\N	\N	\N	6
10	1991	8532	\N	\N	\N	6
10	1992	8507	\N	\N	\N	8
10	1993	8532	\N	\N	\N	8
10	1994	8507	\N	\N	\N	11
10	1995	8507	\N	\N	\N	10
10	1995	8532	\N	\N	\N	8
10	1996	8507	\N	\N	\N	6
10	1997	8507	\N	\N	\N	9
10	1997	8532	\N	\N	\N	11
10	1998	8507	\N	\N	\N	9
10	1998	8532	\N	\N	\N	9
10	2000	8507	\N	\N	\N	8
10	2000	8532	\N	\N	\N	7
10	2001	8507	\N	\N	\N	8
10	2002	8507	\N	\N	\N	7
10	2002	8532	\N	\N	\N	6
10	2003	8532	\N	\N	\N	7
10	2004	8507	\N	\N	\N	9
10	2006	8532	\N	\N	\N	7
10	2010	8507	\N	\N	\N	7
10	2010	8532	\N	\N	\N	10
10	2011	8507	\N	\N	\N	12
10	2011	8532	\N	\N	\N	6
10	2012	8532	\N	\N	\N	6
10	2013	8507	\N	\N	\N	6
10	2014	8507	\N	\N	\N	6
10	2014	8532	\N	\N	\N	9
10	2015	8507	\N	\N	\N	8
10	2018	8507	\N	\N	\N	7
10	2018	8532	\N	\N	\N	8
11	1908	8532	\N	\N	\N	11
11	1910	8507	\N	\N	\N	13
11	1914	8507	\N	\N	\N	6
11	1929	8507	\N	\N	\N	6
11	1934	8507	\N	\N	\N	10
11	1936	8532	\N	\N	\N	7
11	1940	8532	\N	\N	\N	7
11	1942	8532	\N	\N	\N	6
11	1944	8507	\N	\N	\N	9
11	1944	8532	\N	\N	\N	13
11	1945	8532	\N	\N	\N	7
11	1947	8507	\N	\N	\N	7
11	1948	8507	\N	\N	\N	6
11	1950	8532	\N	\N	\N	11
11	1951	8507	\N	\N	\N	7
11	1952	8532	\N	\N	\N	6
11	1954	8532	\N	\N	\N	9
11	1956	8507	\N	\N	\N	12
11	1957	8507	\N	\N	\N	9
11	1957	8532	\N	\N	\N	10
11	1958	8507	\N	\N	\N	6
11	1958	8532	\N	\N	\N	6
11	1959	8507	\N	\N	\N	7
11	1959	8532	\N	\N	\N	11
11	1960	8507	\N	\N	\N	7
11	1960	8532	\N	\N	\N	9
11	1961	8507	\N	\N	\N	7
11	1961	8532	\N	\N	\N	6
11	1962	8532	\N	\N	\N	12
11	1963	8507	\N	\N	\N	8
11	1964	8507	\N	\N	\N	6
11	1966	8507	\N	\N	\N	9
11	1966	8532	\N	\N	\N	9
11	1967	8507	\N	\N	\N	9
11	1967	8532	\N	\N	\N	9
11	1968	8532	\N	\N	\N	6
11	1969	8507	\N	\N	\N	9
11	1969	8532	\N	\N	\N	8
11	1970	8507	\N	\N	\N	11
11	1970	8532	\N	\N	\N	10
11	1971	8507	\N	\N	\N	8
11	1972	8532	\N	\N	\N	8
11	1973	8507	\N	\N	\N	8
11	1973	8532	\N	\N	\N	7
11	1974	8507	\N	\N	\N	10
11	1974	8532	\N	\N	\N	8
11	1975	8532	\N	\N	\N	15
11	1976	8507	\N	\N	\N	9
11	1976	8532	\N	\N	\N	6
11	1977	8507	\N	\N	\N	8
11	1977	8532	\N	\N	\N	6
11	1978	8507	\N	\N	\N	8
11	1979	8532	\N	\N	\N	6
11	1980	8507	\N	\N	\N	9
11	1980	8532	\N	\N	\N	11
11	1981	8532	\N	\N	\N	9
11	1982	8507	\N	\N	\N	6
11	1983	8532	\N	\N	\N	10
11	1984	8507	\N	\N	\N	9
11	1984	8532	\N	\N	\N	7
11	1985	8507	\N	\N	\N	14
11	1986	8507	\N	\N	\N	7
11	1986	8532	\N	\N	\N	12
11	1987	8507	\N	\N	\N	7
11	1987	8532	\N	\N	\N	8
11	1988	8507	\N	\N	\N	6
11	1988	8532	\N	\N	\N	8
11	1989	8532	\N	\N	\N	6
11	1990	8507	\N	\N	\N	16
11	1990	8532	\N	\N	\N	8
11	1991	8507	\N	\N	\N	6
11	1991	8532	\N	\N	\N	6
11	1992	8507	\N	\N	\N	8
11	1993	8532	\N	\N	\N	8
11	1994	8507	\N	\N	\N	11
11	1995	8507	\N	\N	\N	10
11	1995	8532	\N	\N	\N	8
11	1996	8507	\N	\N	\N	6
11	1997	8507	\N	\N	\N	9
11	1997	8532	\N	\N	\N	11
11	1998	8507	\N	\N	\N	9
11	1998	8532	\N	\N	\N	9
11	2000	8507	\N	\N	\N	8
11	2000	8532	\N	\N	\N	7
11	2001	8507	\N	\N	\N	8
11	2002	8507	\N	\N	\N	7
11	2002	8532	\N	\N	\N	6
11	2003	8532	\N	\N	\N	7
11	2004	8507	\N	\N	\N	9
11	2006	8532	\N	\N	\N	7
11	2010	8507	\N	\N	\N	7
11	2010	8532	\N	\N	\N	10
11	2011	8507	\N	\N	\N	12
11	2011	8532	\N	\N	\N	6
11	2012	8532	\N	\N	\N	6
11	2013	8507	\N	\N	\N	6
11	2014	8507	\N	\N	\N	6
11	2014	8532	\N	\N	\N	9
11	2015	8507	\N	\N	\N	8
11	2018	8507	\N	\N	\N	7
11	2018	8532	\N	\N	\N	8
12	0	0	\N	\N	\N	21
12	0	38003563	\N	\N	\N	112
12	8515	0	\N	\N	\N	70
12	8516	0	\N	\N	\N	82
12	8527	0	\N	\N	\N	835
101	0	\N	\N	\N	\N	173
101	17	\N	\N	\N	\N	19
101	19	\N	\N	\N	\N	80
101	1	\N	\N	\N	\N	102
101	2	\N	\N	\N	\N	42
101	6	\N	\N	\N	\N	24
101	10	\N	\N	\N	\N	16
101	21	\N	\N	\N	\N	13
101	25	\N	\N	\N	\N	24
101	9	\N	\N	\N	\N	18
101	36	\N	\N	\N	\N	8
101	33	\N	\N	\N	\N	10
101	38	\N	\N	\N	\N	6
101	27	\N	\N	\N	\N	10
101	18	\N	\N	\N	\N	97
101	20	\N	\N	\N	\N	12
101	29	\N	\N	\N	\N	15
101	40	\N	\N	\N	\N	8
101	3	\N	\N	\N	\N	31
101	7	\N	\N	\N	\N	23
101	23	\N	\N	\N	\N	17
101	30	\N	\N	\N	\N	9
101	16	\N	\N	\N	\N	23
101	8	\N	\N	\N	\N	23
101	12	\N	\N	\N	\N	23
101	14	\N	\N	\N	\N	34
101	22	\N	\N	\N	\N	24
101	24	\N	\N	\N	\N	10
101	37	\N	\N	\N	\N	8
101	4	\N	\N	\N	\N	33
101	5	\N	\N	\N	\N	22
101	31	\N	\N	\N	\N	15
101	11	\N	\N	\N	\N	23
101	32	\N	\N	\N	\N	9
101	28	\N	\N	\N	\N	16
101	34	\N	\N	\N	\N	19
101	35	\N	\N	\N	\N	10
101	15	\N	\N	\N	\N	22
101	26	\N	\N	\N	\N	15
101	13	\N	\N	\N	\N	17
102	8507	1	\N	\N	\N	47
102	8507	6	\N	\N	\N	15
102	8532	9	\N	\N	\N	10
102	8532	21	\N	\N	\N	8
102	8532	24	\N	\N	\N	7
102	8507	8	\N	\N	\N	11
102	8507	31	\N	\N	\N	9
102	8532	20	\N	\N	\N	6
102	8532	2	\N	\N	\N	15
102	8507	29	\N	\N	\N	6
102	8507	14	\N	\N	\N	14
102	8532	22	\N	\N	\N	12
102	8532	19	\N	\N	\N	33
102	8507	5	\N	\N	\N	14
102	8532	13	\N	\N	\N	7
102	8532	28	\N	\N	\N	11
102	8532	15	\N	\N	\N	15
102	8507	17	\N	\N	\N	7
102	8532	8	\N	\N	\N	12
102	8532	23	\N	\N	\N	6
102	8507	25	\N	\N	\N	13
102	8507	18	\N	\N	\N	45
102	8507	22	\N	\N	\N	12
102	8532	0	\N	\N	\N	91
102	8507	0	\N	\N	\N	82
102	8507	7	\N	\N	\N	11
102	8532	16	\N	\N	\N	13
102	8532	11	\N	\N	\N	9
102	8532	14	\N	\N	\N	20
102	8532	25	\N	\N	\N	11
102	8532	31	\N	\N	\N	6
102	8507	2	\N	\N	\N	27
102	8507	20	\N	\N	\N	6
102	8507	16	\N	\N	\N	10
102	8532	1	\N	\N	\N	55
102	8532	5	\N	\N	\N	8
102	8532	3	\N	\N	\N	16
102	8507	15	\N	\N	\N	7
102	8507	10	\N	\N	\N	8
102	8532	7	\N	\N	\N	12
102	8507	4	\N	\N	\N	16
102	8532	17	\N	\N	\N	12
102	8507	11	\N	\N	\N	14
102	8532	18	\N	\N	\N	52
102	8507	3	\N	\N	\N	15
102	8532	34	\N	\N	\N	6
102	8532	4	\N	\N	\N	17
102	8532	10	\N	\N	\N	8
102	8507	12	\N	\N	\N	11
102	8507	19	\N	\N	\N	47
102	8507	13	\N	\N	\N	10
102	8532	29	\N	\N	\N	9
102	8507	9	\N	\N	\N	8
102	8532	6	\N	\N	\N	9
102	8507	23	\N	\N	\N	11
102	8532	12	\N	\N	\N	12
102	8532	26	\N	\N	\N	10
102	8507	34	\N	\N	\N	13
108	5	\N	\N	\N	\N	6
108	35	\N	\N	\N	\N	8
108	47	\N	\N	\N	\N	10
108	72	\N	\N	\N	\N	9
108	84	\N	\N	\N	\N	14
108	85	\N	\N	\N	\N	11
108	97	\N	\N	\N	\N	13
108	98	\N	\N	\N	\N	11
108	105	\N	\N	\N	\N	7
108	107	\N	\N	\N	\N	9
108	109	\N	\N	\N	\N	20
108	110	\N	\N	\N	\N	12
108	111	\N	\N	\N	\N	31
108	112	\N	\N	\N	\N	9
108	113	\N	\N	\N	\N	11
108	114	\N	\N	\N	\N	7
108	115	\N	\N	\N	\N	9
108	116	\N	\N	\N	\N	7
108	117	\N	\N	\N	\N	9
108	118	\N	\N	\N	\N	13
108	119	\N	\N	\N	\N	10
108	120	\N	\N	\N	\N	6
108	122	\N	\N	\N	\N	6
108	195	\N	\N	\N	\N	7
109	1915	\N	\N	\N	\N	7
109	1916	\N	\N	\N	\N	8
109	1917	\N	\N	\N	\N	10
109	1918	\N	\N	\N	\N	11
109	1920	\N	\N	\N	\N	12
109	1921	\N	\N	\N	\N	13
109	1923	\N	\N	\N	\N	15
109	1924	\N	\N	\N	\N	16
109	1926	\N	\N	\N	\N	17
109	1927	\N	\N	\N	\N	21
109	1928	\N	\N	\N	\N	24
109	1929	\N	\N	\N	\N	26
109	1930	\N	\N	\N	\N	32
109	1931	\N	\N	\N	\N	34
109	1932	\N	\N	\N	\N	37
109	1933	\N	\N	\N	\N	39
109	1934	\N	\N	\N	\N	41
109	1935	\N	\N	\N	\N	44
109	1936	\N	\N	\N	\N	47
109	1937	\N	\N	\N	\N	51
109	1938	\N	\N	\N	\N	53
109	1939	\N	\N	\N	\N	54
109	1940	\N	\N	\N	\N	57
109	1941	\N	\N	\N	\N	58
109	1942	\N	\N	\N	\N	64
109	1943	\N	\N	\N	\N	69
109	1944	\N	\N	\N	\N	70
109	1945	\N	\N	\N	\N	75
109	1946	\N	\N	\N	\N	80
109	1947	\N	\N	\N	\N	83
109	1948	\N	\N	\N	\N	86
109	1950	\N	\N	\N	\N	88
109	1951	\N	\N	\N	\N	93
109	1952	\N	\N	\N	\N	99
109	1953	\N	\N	\N	\N	109
109	1954	\N	\N	\N	\N	113
109	1955	\N	\N	\N	\N	118
109	1956	\N	\N	\N	\N	126
109	1957	\N	\N	\N	\N	131
109	1958	\N	\N	\N	\N	138
109	1959	\N	\N	\N	\N	144
109	1960	\N	\N	\N	\N	147
109	1961	\N	\N	\N	\N	152
109	1962	\N	\N	\N	\N	155
109	1963	\N	\N	\N	\N	161
109	1964	\N	\N	\N	\N	176
109	1965	\N	\N	\N	\N	181
109	1966	\N	\N	\N	\N	195
109	1967	\N	\N	\N	\N	200
109	1968	\N	\N	\N	\N	211
109	1969	\N	\N	\N	\N	218
109	1970	\N	\N	\N	\N	226
109	1971	\N	\N	\N	\N	229
109	1972	\N	\N	\N	\N	239
109	1973	\N	\N	\N	\N	252
109	1974	\N	\N	\N	\N	267
109	1975	\N	\N	\N	\N	271
109	1976	\N	\N	\N	\N	288
109	1977	\N	\N	\N	\N	303
109	1978	\N	\N	\N	\N	318
109	1979	\N	\N	\N	\N	333
109	1980	\N	\N	\N	\N	342
109	1981	\N	\N	\N	\N	359
109	1982	\N	\N	\N	\N	369
109	1983	\N	\N	\N	\N	386
109	1984	\N	\N	\N	\N	402
109	1985	\N	\N	\N	\N	415
109	1986	\N	\N	\N	\N	425
109	1987	\N	\N	\N	\N	437
109	1988	\N	\N	\N	\N	454
109	1989	\N	\N	\N	\N	466
109	1990	\N	\N	\N	\N	480
109	1991	\N	\N	\N	\N	493
109	1992	\N	\N	\N	\N	510
109	1993	\N	\N	\N	\N	522
109	1994	\N	\N	\N	\N	529
109	1995	\N	\N	\N	\N	533
109	1996	\N	\N	\N	\N	547
109	1997	\N	\N	\N	\N	561
109	1998	\N	\N	\N	\N	571
109	1999	\N	\N	\N	\N	579
109	2000	\N	\N	\N	\N	588
109	2001	\N	\N	\N	\N	600
109	2002	\N	\N	\N	\N	614
109	2003	\N	\N	\N	\N	628
109	2004	\N	\N	\N	\N	642
109	2005	\N	\N	\N	\N	653
109	2006	\N	\N	\N	\N	661
109	2007	\N	\N	\N	\N	676
109	2008	\N	\N	\N	\N	683
109	2009	\N	\N	\N	\N	716
109	2010	\N	\N	\N	\N	893
109	2011	\N	\N	\N	\N	927
109	2012	\N	\N	\N	\N	950
109	2013	\N	\N	\N	\N	953
109	2014	\N	\N	\N	\N	958
109	2015	\N	\N	\N	\N	968
109	2016	\N	\N	\N	\N	951
109	2017	\N	\N	\N	\N	857
109	2018	\N	\N	\N	\N	67
110	191410	\N	\N	\N	\N	6
110	191508	\N	\N	\N	\N	8
110	191608	\N	\N	\N	\N	8
110	191609	\N	\N	\N	\N	9
110	191709	\N	\N	\N	\N	10
110	191809	\N	\N	\N	\N	11
110	192005	\N	\N	\N	\N	12
110	192106	\N	\N	\N	\N	13
110	192112	\N	\N	\N	\N	14
110	192302	\N	\N	\N	\N	15
110	192402	\N	\N	\N	\N	16
110	192602	\N	\N	\N	\N	17
110	192603	\N	\N	\N	\N	18
110	192609	\N	\N	\N	\N	19
110	192610	\N	\N	\N	\N	20
110	192707	\N	\N	\N	\N	21
110	192712	\N	\N	\N	\N	23
110	192806	\N	\N	\N	\N	25
110	192810	\N	\N	\N	\N	25
110	192901	\N	\N	\N	\N	26
110	192904	\N	\N	\N	\N	27
110	192905	\N	\N	\N	\N	28
110	192907	\N	\N	\N	\N	29
110	192908	\N	\N	\N	\N	30
110	192911	\N	\N	\N	\N	31
110	193006	\N	\N	\N	\N	32
110	193011	\N	\N	\N	\N	33
110	193101	\N	\N	\N	\N	34
110	193103	\N	\N	\N	\N	35
110	193105	\N	\N	\N	\N	36
110	193204	\N	\N	\N	\N	37
110	193212	\N	\N	\N	\N	38
110	193306	\N	\N	\N	\N	39
110	193310	\N	\N	\N	\N	40
110	193403	\N	\N	\N	\N	41
110	193409	\N	\N	\N	\N	42
110	193410	\N	\N	\N	\N	43
110	193503	\N	\N	\N	\N	44
110	193505	\N	\N	\N	\N	45
110	193611	\N	\N	\N	\N	47
110	193612	\N	\N	\N	\N	50
110	193702	\N	\N	\N	\N	51
110	193709	\N	\N	\N	\N	52
110	193812	\N	\N	\N	\N	53
110	193903	\N	\N	\N	\N	54
110	193904	\N	\N	\N	\N	55
110	193905	\N	\N	\N	\N	56
110	194005	\N	\N	\N	\N	57
110	194103	\N	\N	\N	\N	58
110	194104	\N	\N	\N	\N	59
110	194105	\N	\N	\N	\N	60
110	194107	\N	\N	\N	\N	61
110	194111	\N	\N	\N	\N	62
110	194201	\N	\N	\N	\N	64
110	194204	\N	\N	\N	\N	65
110	194205	\N	\N	\N	\N	66
110	194206	\N	\N	\N	\N	67
110	194209	\N	\N	\N	\N	68
110	194312	\N	\N	\N	\N	69
110	194407	\N	\N	\N	\N	70
110	194408	\N	\N	\N	\N	71
110	194409	\N	\N	\N	\N	72
110	194410	\N	\N	\N	\N	73
110	194412	\N	\N	\N	\N	74
110	194502	\N	\N	\N	\N	75
110	194504	\N	\N	\N	\N	76
110	194506	\N	\N	\N	\N	77
110	194510	\N	\N	\N	\N	78
110	194511	\N	\N	\N	\N	79
110	194603	\N	\N	\N	\N	81
110	194606	\N	\N	\N	\N	81
110	194611	\N	\N	\N	\N	82
110	194704	\N	\N	\N	\N	83
110	194711	\N	\N	\N	\N	84
110	194712	\N	\N	\N	\N	85
110	194803	\N	\N	\N	\N	86
110	194810	\N	\N	\N	\N	87
110	194812	\N	\N	\N	\N	88
110	195004	\N	\N	\N	\N	88
110	195007	\N	\N	\N	\N	89
110	195008	\N	\N	\N	\N	90
110	195009	\N	\N	\N	\N	91
110	195010	\N	\N	\N	\N	92
110	195101	\N	\N	\N	\N	94
110	195102	\N	\N	\N	\N	95
110	195103	\N	\N	\N	\N	96
110	195109	\N	\N	\N	\N	96
110	195110	\N	\N	\N	\N	98
110	195201	\N	\N	\N	\N	99
110	195202	\N	\N	\N	\N	100
110	195203	\N	\N	\N	\N	101
110	195204	\N	\N	\N	\N	102
110	195205	\N	\N	\N	\N	103
110	195209	\N	\N	\N	\N	104
110	195210	\N	\N	\N	\N	105
110	195212	\N	\N	\N	\N	106
110	195302	\N	\N	\N	\N	109
110	195303	\N	\N	\N	\N	111
110	195309	\N	\N	\N	\N	112
110	195401	\N	\N	\N	\N	113
110	195404	\N	\N	\N	\N	114
110	195405	\N	\N	\N	\N	115
110	195409	\N	\N	\N	\N	116
110	195410	\N	\N	\N	\N	117
110	195502	\N	\N	\N	\N	118
110	195504	\N	\N	\N	\N	121
110	195505	\N	\N	\N	\N	122
110	195507	\N	\N	\N	\N	123
110	195510	\N	\N	\N	\N	124
110	195511	\N	\N	\N	\N	125
110	195602	\N	\N	\N	\N	126
110	195603	\N	\N	\N	\N	127
110	195610	\N	\N	\N	\N	129
110	195704	\N	\N	\N	\N	131
110	195706	\N	\N	\N	\N	132
110	195708	\N	\N	\N	\N	134
110	195710	\N	\N	\N	\N	135
110	195712	\N	\N	\N	\N	136
110	195801	\N	\N	\N	\N	138
110	195804	\N	\N	\N	\N	139
110	195807	\N	\N	\N	\N	140
110	195810	\N	\N	\N	\N	141
110	195812	\N	\N	\N	\N	142
110	195906	\N	\N	\N	\N	144
110	195907	\N	\N	\N	\N	145
110	195910	\N	\N	\N	\N	146
110	196001	\N	\N	\N	\N	147
110	196007	\N	\N	\N	\N	148
110	196009	\N	\N	\N	\N	149
110	196010	\N	\N	\N	\N	150
110	196012	\N	\N	\N	\N	151
110	196105	\N	\N	\N	\N	152
110	196106	\N	\N	\N	\N	153
110	196107	\N	\N	\N	\N	154
110	196204	\N	\N	\N	\N	156
110	196205	\N	\N	\N	\N	156
110	196206	\N	\N	\N	\N	157
110	196207	\N	\N	\N	\N	158
110	196211	\N	\N	\N	\N	159
110	196301	\N	\N	\N	\N	161
110	196302	\N	\N	\N	\N	163
110	196303	\N	\N	\N	\N	166
110	196304	\N	\N	\N	\N	167
110	196305	\N	\N	\N	\N	169
110	196306	\N	\N	\N	\N	170
110	196307	\N	\N	\N	\N	171
110	196310	\N	\N	\N	\N	172
110	196311	\N	\N	\N	\N	173
110	196312	\N	\N	\N	\N	175
110	196404	\N	\N	\N	\N	176
110	196409	\N	\N	\N	\N	177
110	196411	\N	\N	\N	\N	178
110	196412	\N	\N	\N	\N	180
110	196502	\N	\N	\N	\N	181
110	196503	\N	\N	\N	\N	182
110	196504	\N	\N	\N	\N	183
110	196507	\N	\N	\N	\N	185
110	196508	\N	\N	\N	\N	186
110	196509	\N	\N	\N	\N	188
110	196510	\N	\N	\N	\N	190
110	196511	\N	\N	\N	\N	191
110	196512	\N	\N	\N	\N	193
110	196601	\N	\N	\N	\N	195
110	196609	\N	\N	\N	\N	196
110	196611	\N	\N	\N	\N	197
110	196612	\N	\N	\N	\N	198
110	196701	\N	\N	\N	\N	200
110	196704	\N	\N	\N	\N	201
110	196705	\N	\N	\N	\N	202
110	196706	\N	\N	\N	\N	204
110	196707	\N	\N	\N	\N	206
110	196708	\N	\N	\N	\N	207
110	196710	\N	\N	\N	\N	208
110	196711	\N	\N	\N	\N	209
110	196712	\N	\N	\N	\N	210
110	196801	\N	\N	\N	\N	211
110	196803	\N	\N	\N	\N	213
110	196804	\N	\N	\N	\N	214
110	196806	\N	\N	\N	\N	215
110	196807	\N	\N	\N	\N	216
110	196810	\N	\N	\N	\N	218
110	196901	\N	\N	\N	\N	219
110	196903	\N	\N	\N	\N	219
110	196904	\N	\N	\N	\N	220
110	196907	\N	\N	\N	\N	221
110	196909	\N	\N	\N	\N	222
110	196910	\N	\N	\N	\N	223
110	196911	\N	\N	\N	\N	225
110	196912	\N	\N	\N	\N	226
110	197002	\N	\N	\N	\N	227
110	197003	\N	\N	\N	\N	228
110	197006	\N	\N	\N	\N	229
110	197007	\N	\N	\N	\N	230
110	197009	\N	\N	\N	\N	231
110	197010	\N	\N	\N	\N	232
110	197102	\N	\N	\N	\N	233
110	197104	\N	\N	\N	\N	234
110	197106	\N	\N	\N	\N	233
110	197107	\N	\N	\N	\N	235
110	197108	\N	\N	\N	\N	236
110	197110	\N	\N	\N	\N	236
110	197112	\N	\N	\N	\N	238
110	197201	\N	\N	\N	\N	239
110	197204	\N	\N	\N	\N	240
110	197205	\N	\N	\N	\N	241
110	197208	\N	\N	\N	\N	242
110	197209	\N	\N	\N	\N	243
110	197211	\N	\N	\N	\N	247
110	197212	\N	\N	\N	\N	250
110	197301	\N	\N	\N	\N	252
110	197302	\N	\N	\N	\N	253
110	197304	\N	\N	\N	\N	255
110	197305	\N	\N	\N	\N	257
110	197306	\N	\N	\N	\N	260
110	197307	\N	\N	\N	\N	261
110	197308	\N	\N	\N	\N	263
110	197309	\N	\N	\N	\N	264
110	197310	\N	\N	\N	\N	266
