"care_site_id","care_site_name","place_of_service_concept_id","location_id","care_site_source_value","place_of_service_source_value"
42,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER  INC.,0,,"21a0c9f7-5b48-3b8d-b17f-accc1a56e478",
43,ST SIMONS-BY-THE-SEA,0,,"21ad1d7d-f25f-399f-9b2c-d0e612436f98",
44,HOSPITAL AUTHORITY OF WILKES COUNTY,0,,"21ddf35f-ffc0-33a4-a452-fdccebbfc747",
45,DECATUR HEALTH RESOURCES  INC.,0,,"21f1c4b4-74c7-3bf4-a3dd-58cffe998d94",
46,LIGHT HORSE HEALTHCARE INC,0,,"222296ce-4c99-3fa8-b2f2-8c4f8af20e07",
47,CHATTAHOOCHEE VALLEY FAMILY,0,,"25ac0ac3-50af-3686-ab0d-ca3023dc2045",
48,ST. FRANCIS HEALTH  LLC,0,,"25f69658-8e77-30a6-bdda-8e0cb389db9b",
49,SELECT SPECIALTY HOSPITAL MIDTOWN ATLANTA LLC,0,,"262f4d79-ca49-3058-bd30-d174c8e6375a",
50,RELIABLE HEALTH & REHAB AT LAKEWOOD,0,,"26527d65-3a64-3cc4-ba26-c3cdeb20f048",
51,STEVENS PARK HEALTH AND REHABILITATION,0,,"26622b23-5148-3b0f-91a7-cd3a18d0486d",
52,MED NOW URGENT CARE  LLC,0,,"26792259-e085-39d6-9b89-ad80c35158a2",
53,URGENT CARE OF BERWICK LLC,0,,"27d43155-4fcf-35bf-82d8-6b0fe2f9d1db",
54,CONYERS GA OPCO LLC,0,,"27d64c7c-39fd-314d-a4bc-90fc95085508",
55,PEACHTREE PRIMARY CARE PC,0,,"288003cc-e94b-3067-bbb9-1c59ec5f2b39",
56,MEDICI URGENT CARE AND WELLNESS CENTER,0,,"28a9a232-f23f-312b-9bce-f8deb208aa15",
57,TUNNEL HILL WALK IN MEDICAL CENTER  LLC,0,,"2a71be18-19c1-32ff-9b16-b6926da3004c",
58,SELECT SPECIALTY HOSPITAL - SAVANNAH  INC,0,,"2b670b5a-d48d-3c16-85ed-644e561cd491",
59,PIEDMONT EASTSIDE MEDICAL CENTER,0,,"2bd032ad-78ac-39ec-b594-75fb9bf4216d",
60,MT VERNON FAMILY MEDICINE,0,,"2c00e071-289b-31b2-bcaf-ce28574a0bb0",
61,GAINESVILLE INTERNAL MEDICINE GROUP  LLC,0,,"2c68ea6b-ab27-3781-af79-695c8f58e337",
62,SELECT SPECIALTY HOSPITAL - AUGUSTA  INC,0,,"2d1c8dcd-b758-3118-b299-b9fb43ddd116",
63,PRESBYTERIAN VILLAGE,0,,"2e6375e1-c783-3863-8513-c8a7b1495997",
64,PROSPINE WELLNESS & INJURY CARE PC,0,,"2f0ee889-3df4-3257-b0f6-f3599a17bb25",
65,DELMAR GARDENS OF SMYRNA,0,,"2f8da32a-0bfa-36a4-ac73-42e3ef1aeaf8",
66,HOSPITAL AUTHORITY OF WILKES COUNTY,0,,"2fc7f103-2029-3e28-833c-723046f23c64",
67,ABERCORN REHABILITATION CENTER,0,,"328a1c88-b1a4-3622-89a7-baa6139876f6",
68,LIFEBRITE HOSPITAL GROUP OF EARLY LLC,0,,"33b5d6c0-fb79-3131-ae41-75edd070942b",
69,REGENCY SOUTHERNCARE-METRO ATLANTA,0,,"33bb640c-c0c2-3c5b-a1b9-6d63bf0fac21",
70,SOUTHSIDE MEDICAL CENTER  INC.,0,,"33e6a21c-5d6c-3024-a2e0-2026220f4bd6",
71,SOUTHEAST SPINE CENTER LLC,0,,"34191958-daa5-3ea4-852b-6095203df5a1",
72,AFFINIS HOSPICE  LLC,0,,"358e8970-7769-382a-b816-6eb7ee3686f7",
73,PIEDMONT HEALTHCARE ENCOMPASS HEALTH REHAB HOSPITAL OF HENRY  LLC,0,,"378ac572-c3aa-3197-ad28-2eac65857439",
74,SPANISH OAKS HOSPICE INC,0,,"37c03737-4fcc-3d81-9553-16537c99cf77",
75,ANYTIME MD URGENT CARE LLC,0,,"38ecd55b-64ae-303d-b9ea-8ef3f1d6821b",
76,INTERNAL MEDICINE ASSOCIATES OF DALTON INC,0,,"398c580f-7cf5-3229-bf43-d70dbe688c1f",
77,PIEDMONT CARTERSVILLE MEDICAL CENTER,0,,"3b0462ab-e787-3648-976b-627adff015fa",
78,ELLIJAY URGENT CARE & FAMILY PRACTICE  LLC,0,,"3b24b235-4e6c-37d9-9895-d8aa28320814",
79,DAHLONEGA PEDIATRICS AND ADOLESCENT MEDICINE PC,0,,"3cb4abf5-fd21-30ca-8b67-0a7333471d1d",
80,CENTERWELL SENIOR PRIMARY CARE GA PC,0,,"3f45d083-db9d-3fb9-9c22-6448cf98c5d3",
81,HOUSTON MEDICAL CENTER,0,,"3fe8dc24-87dc-35db-a795-7c7563f80d55",
82,CARECONNECT FAMILY PRACTICE,0,,"4090babd-46dc-3204-83f1-792afb95ee53",
83,HAMILTON MEDICAL CENTER,0,,"415f80ca-4824-33ae-8399-631c22b100ce",
84,NEIGHBORHOOD IMPROVEMENT PROJECT  INC,0,,"41cf861f-d67f-37f1-9edb-a5754767198f",
85,SAINT JOSEPHS HOSPITAL INC,0,,"420b4396-2c01-3c75-a6cc-c1603b7d0b8e",
86,FAMILY MEDICINE OF POOLER  LLC,0,,"4349354e-621e-3b9e-b470-6ff23a1f1057",
87,ALLEN FAMILY HEALTHCARE LLC,0,,"4370bb3c-b42e-3e75-9342-4ea7d4207409",
88,PREMIER HEALTHCARE INVESTMENTS,0,,"437facbf-64d9-3f6e-889c-18697614881e",
89,TMC VILLA RICA HOSPITAL  INC,0,,"441cb169-dc03-3226-a6a6-116c7894516a",
90,CHARIS HEALTHCARE LLC,0,,"46d9c8bb-81a7-34db-8fbd-e1e2127511df",
91,FAYETTEVILLE CENTER FOR NURSING & HEALING LLC,0,,"46f007ca-7fb2-3d7b-a380-51694bdae8dc",
92,WELLSTAR ATLANTA MEDICAL CENTER,0,,"49293380-3c46-3c1a-a791-e1d2fa85f849",
93,ATLANTA PLUS URGENT CARE,0,,"49fc2a53-1125-39ec-86bd-128652b8f11b",
94,CHI MEMORIAL HOSPITAL - GEORGIA,0,,"4a6b6806-5557-3839-a977-76350707a797",
95,RURAL URGENT CARE LLC,0,,"4bf73b3c-1092-3b91-a168-3634903a35f2",
96,EASTVIEW NURSING CENTER,0,,"4dee99c8-e06e-3ace-a776-d04675f82583",
97,MANOR CARE REHABILITATION CENTER - DECATUR,0,,"4def6081-f78b-3c79-8c6e-d10f58be1ad2",
98,HEARTLAND HOSPICE SERVICES- BRUNSWICK,0,,"4eefccc8-bd44-35d0-a829-de30e20bf4ab",
99,FAMILY PRACTICE & URGENT CARE,0,,"4feb4264-6bf3-3d9f-aadb-225d99a8b773",
100,ATLANTA MEDICAL CENTER PHYSICIAN GROUP  LLC,0,,"516035a7-6626-3222-9348-82f0e80803c5",
101,SERENITY WELLNESS SPA LLC,0,,"51e89ece-9921-375a-9963-bcc47569fa5a",
102,HOMESTEAD HOSPICE OF SOUTH GEORGIA  LLC,0,,"534350ef-e4c5-3c91-8bf2-c359cc526797",
103,PEACHFORD BEHAVIORAL HEALTH SYSTEM OF ATLANTA,0,,"5368cfab-0e22-3a6f-8091-308696cd187c",
104,OAKHURST MEDICAL CENTER INC,0,,"5381b76a-649b-3f1c-b445-0725f29178e5",
105,PRIME HEALTHCARE FOUNDATION - SOUTHERN REGIONAL LLC,0,,"54476f24-38a0-31db-b344-43b260ac23b1",
106,LENORA CHURCH ROAD PROPERTY- SNF LLC,0,,"55539835-aa40-3206-80af-e6b92f4647f4",
107,SAINT JOSEPHS HOSPITAL OF ATLANTA INC.,0,,"57a74fa4-97bf-34fa-8f27-2d338edaea2d",
108,KENNESTONE HOSPITAL  INC.,0,,"57a79f1a-3e8e-3c71-9fc5-e5b2aa64ec75",
109,AFFINIS HOSPICE  LLC,0,,"5b58c8ff-ed96-3e6f-b22f-c2d5c3a566a2",
110,CANDLER HOSPITAL INCORPORATED,0,,"5c0a0b8c-5ea2-3081-a454-10668a1d24c7",
111,WAYNE MEMORIAL HOSPITAL,0,,"5c0eb32c-b8b5-3c5b-9ca2-4421cea7fb00",
112,OMNI PRIMARY CARE  PC,0,,"5c125022-d9a0-327e-ac0a-0489bd545ad2",
113,CANDLER INTERNAL MEDICINE,0,,"5c9c828d-55ad-3f38-bea2-5a39ec4883b8",
114,AMC/NORTH FULTON URGENT CARE #3  LLC,0,,"5e29a418-356a-3a2a-a2eb-39945ef89ab7",
115,CARECONNECT HEALTH INC,0,,"5f4ac10c-f19e-39ea-a269-1c0591003380",
116,RIVERDALE MEDICAL CENTER LLC,0,,"6146e6db-9cde-359a-8414-d50b98ae6f7f",
117,Savannah Vet Center,0,,"62322037-5416-331e-93e0-0fb0bfbd6a4c",
118,TMC VILLA RICA HOSPITAL  INC,0,,"6323c3be-b157-3d5b-8956-f55ace66404e",
119,RIDGEWOOD MANOR HEALTH AND REHABILITATION,0,,"63a26845-5d6c-308a-ab9f-b8a2d476bd48",
120,HOMETOWN HEALTHCARE OF BYRON  LLC,0,,"6574aea7-4f76-3424-8c40-979a5ad977ac",
121,SAINT JOSEPHS HOSPITAL INC,0,,"6585c368-685c-396f-90a9-b17c963ae2d1",
122,WARRENTON HEALTH AND REHAB,0,,"6593e2c4-0d0c-38c9-bb68-476865699756",
123,WALKER HEALTH AND WELLNESS LLC,0,,"66cbe530-1797-303e-8f5d-7906395eeda5",
124,SAMRAJ MEDICAL CLINIC  P.C.,0,,"6839f915-6788-3b74-9d9a-5232166f2723",
125,PREMIER HEALTHCARE INVESTMENTS,0,,"683a9fe7-6b3a-33af-ae04-e4c231758636",
126,HEALING HEART URGENT CARE LLC,0,,"6856f0ff-d729-3c9c-aeae-a94431c13a31",
127,"1ST CHOICE HEALTHCARE CENTER  LLC",0,,"68c01862-6d0d-3ccb-b456-42459b94d2ca",
128,SOUTHSIDE MEDICAL CENTER-NORCROSS CLINIC,0,,"6973af9f-6d57-3956-9e6c-3662746389a2",
129,AGAPE HOSPICE CARE OF CHEROKEE COUNTY LLC,0,,"6af89e85-e04c-315b-997e-5974b8200f4e",
130,HORIZON URGENT CARE LLC,0,,"6b8bd5a4-b114-3f5f-918d-5210e722cb92",
131,ST MARY'S SACRED HEART HOSPITAL  INC,0,,"6ca6121e-df3c-3b75-ba90-62d48f54daa4",
132,SOUTHEAST GEORGIA HEALTH SYSTEM  INC,0,,"6cbb1bfa-332e-3a92-9df2-97dc11dcafe6",
133,GEORGE MARTINEZ OFFICE OF INTERNAL MEDICINE LLC,0,,"6fa2392c-3560-3399-b1eb-7c1bcc4973fe",
134,KINDRED AT HOME,0,,"6fd203a3-0235-3ee2-82a2-b93ff0fd9fbc",
135,LANIER HOSPICE LLC,0,,"7025e738-9991-3d1a-b7a1-e8a488bf30c5",
136,HUTCHESON MEDICAL CENTER,0,,"7057b854-9bb5-3cb9-ac70-1903f4daa27d",
137,DOUGLAS HOSPITAL  INC.,0,,"719b7a1c-3f36-34a6-88db-c9910e4f5556",
138,QUINTON MEM HC & REHAB CENTER,0,,"71d1e250-680d-39d9-8798-66a2af9d2142",
139,NGMC LUMPKIN LLC,0,,"723b799b-fb6a-39ea-ab84-da2e56813002",
140,PHOEBE PUTNEY MEMORIAL HOSPITAL  INC.,0,,"744f6f3e-1385-3848-b160-22fd3ee8598f",
141,PALMETTO HEALTH COUNCIL INC,0,,"747b69c7-457e-397e-97a5-13bf0826e4a7",
142,MLK KING JR ELEMENTARY SCHOOL CLINIC,0,,"75163e3e-f95c-33d9-9f12-3b81e2e64dd6",
143,PIEDMONT NEWNAN HOSPITAL  INC.,0,,"75363263-95e2-3c31-862b-73d7af330229",
144,KINDRED AT HOME,0,,"767bee69-afd4-3c26-908d-dfeef6cf2f8a",
145,SUNCREST HOME HEALTH OF GEORGIA  INC.,0,,"76bbbfd0-cbd6-338f-bd85-92cd9d548d74",
146,CRISP REGIONAL HOSPITAL,0,,"76c0ee70-4619-3509-8650-86e756a99278",
147,CANDLER HOSPITAL INCORPORATED,0,,"7804d107-10d2-33e1-b368-aa505c6e3c2e",
148,VALLEY HEALTHCARE SYSTEM INC,0,,"78a9a481-b270-3944-b012-d89dcfc2f8a7",
149,HIS HANDS FAMILY PRACTICE CLINIC LLC,0,,"79ad9de1-9628-336b-b9ce-84e92af5616d",
150,PHOEBE PUTNEY MEMORIAL HOSPITAL  INC.,0,,"79dd113c-59a3-3a67-8706-d43633a8e279",
151,EMORY UNIVERSITY HOSPITAL,0,,"7a182c97-02ea-34bf-8bf7-96b0a42e877f",
152,SOUTH ATLANTA URGENT CARE CLINIC LLC,0,,"7b134643-1817-3625-bd6e-8fe82ea29fe3",
153,TARA OPERATOR LLC,0,,"7ca8e4b1-0ed5-3f29-9062-44a1586eeb98",
154,JOI LIFE WELLNESS GROUP LLC,0,,"7d167f86-86a3-308b-a19d-b0efc9136678",
155,PARK CENTRAL FAMILY PRACTICE  INC.,0,,"7d365571-c841-3270-96d1-4d0b36fdc68b",
156,SAINT JOSEPH'S MERCY CARE SERVICES INC,0,,"7f6e3fc1-b222-3408-9a29-ad289522be8d",
157,HAMILTON HOME HEALTH,0,,"7f9356d5-6079-3626-adf0-db02afc1c15b",
158,MODERN INTERNAL MEDICINE URGENT CARE AND PRIMARY CARE INC.,0,,"8152c53d-e902-33d2-933a-1d505ede6793",
159,INTREPID USA HEALTHCARE SERVICES,0,,"81823cb4-8381-38ef-b533-19cf4c62830b",
160,ANCHORED IN WELLNESS  LLC,0,,"8244c4c9-876d-3a16-9c6a-0c54a9003e97",
161,HIGHLAND URGENT CARE AND FAMILY MEDICINE LLC,0,,"82fcd346-c0bd-3112-ab41-6c78e88fda0e",
162,BWELL MEDICAL AND WELLNESS CENTER,0,,"833d8c55-aec3-3aa4-97bf-e4356f6a99bc",
163,ALBANY AREA PRIMARY HEALTH CARE INC,0,,"845e3cb9-7ddb-3c01-bd07-fb9c6f2d97e8",
164,PROFESSIONAL RESOURCES MANAGEMENT OF RABUN  LLC,0,,"8673e23a-24a3-3290-b797-f76d42f4811e",
165,AFFINIS HOSPICE  LLC,0,,"8762ac1e-d10e-3df8-9f51-81f8161d6548",
166,UC URGENT CARE INC.,0,,"876e5c8b-5a97-3dcc-bfad-8e030c849650",
167,CHATTAHOOCHEE HEALTH CARE,0,,"880ff9ce-866e-3ca5-8853-239e25812ac7",
168,CURTIS V. COOPER PRIMARY HEALTH CARE  INC,0,,"898213e2-d65a-3d41-8975-05cdb9b03d9f",
169,COMMUNITY HEALTH CARE SYTEMS- WILKINSON,0,,"8aca6256-5c53-36e2-ad1a-221ae94d8773",
170,ABSOLUTE HEALTH FAMILY & URGENT CARE CLINIC,0,,"8b2b3292-1b33-3d57-900b-00d271ae8b40",
171,AMEDISYS HOME HEALTH,0,,"8bf0efd1-696e-3304-b63e-96f981de0ef5",
172,FIRST CHOICE PRIMARY CARE  INC.,0,,"8c357d6c-84a4-3074-8b8a-67a864ce814d",
173,COBB HOSPITAL INC,0,,"8d66ee46-868f-3a71-97e3-10bb0ba26bb4",
174,PHOEBE PUTNEY MEMORIAL HOSPITAL  INC.,0,,"8e92f4ff-25d1-3c2f-8d4a-9f9b26e3fb55",
175,THE HOSPITAL AUTHORITY OF HABERSHAM COUNTY,0,,"8f927b73-c361-340e-9942-b1332d7b9d32",
176,KENNESTONE HOSPITAL  INC.,0,,"905201a5-f944-39aa-b736-222ec953cf70",
177,CANDLER HOSPITAL INCORPORATED,0,,"91dc3fce-f333-36dd-bfbe-3da1e4737a23",
178,MERIWETHER HEALTHCARE LLC,0,,"92492c0d-eaab-35bc-8c22-d24ce8564702",
179,PHYSICIANS UNITED URGENT CARE  P.C.,0,,"9296feaa-5e01-3c87-b7b9-d13246f824b0",
180,LAKE CITY NURSING AND REHABILITATION CENTER LLC,0,,"92d034d8-abef-3438-99a8-7dec2107bc8b",
181,DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES,0,,"93caa925-46fd-31c7-bde8-3ba5fa1c32c7",
182,WOODSTOCK NURSING & REHAB CTR,0,,"94a9862d-326d-3445-80e9-65fb23eed6c1",
183,PRIME HEALTHCARE FOUNDATION - SOUTHERN REGIONAL LLC,0,,"9678ee58-e4f0-3338-9b05-54f89819c714",
184,PIEDMONT HOSPITAL,0,,"96fceadc-206a-3f06-85db-119ca8082726",
185,Milledgeville Community Based Outpatient Clinic,0,,"972538af-d299-384a-af70-705b0f6758fc",
186,BRUNSWICK URGENT CARE  LLC,0,,"983a411a-f627-3142-aaed-86f4ecbbfb0e",
187,UH INTERNAL MEDICINE PARTNERS,0,,"986a2b1a-ca89-376e-ba07-9c0bc5692e88",
188,ULTRA CARE OF GEORGIA  INC,0,,"9a8966ba-cb2c-3b6f-8d7c-def21f0f8fa7",
189,CARTERSVILLE FAMILY MEDICINE,0,,"9ae79fc4-81b3-3a23-a276-098b8fcd61a0",
190,FAMILY PRACTITIONERS OF GLYNN P.C.,0,,"9b712099-3f7b-30d6-a568-acb204800e7c",
191,HAZLEHURST FAMILY CLINIC LLC,0,,"9c1c779a-ef72-3252-9c2f-1cabfe05e404",
192,URGENT MEDICAL MANAGEMENT LLC,0,,"9c83cf06-ed7d-31b2-ab8b-a55560c826f6",
193,THE MEDICAL CENTER OF PEACH COUNTY  INC.,0,,"9d79fc6e-cb1a-3ba2-8423-1eb7d66f1674",
194,GET WELL URGENT CARE LLC,0,,"9dc77cee-aee5-344e-a35a-a86bdbeb7316",
195,TIFTON OPERATING COMPANY LLC,0,,"9ddd0359-d4b3-37ae-b25c-c3798efcfef3",
196,SURGICARE GWINNETT,0,,"9e61def2-fea2-347c-a0f1-8291548310a5",
197,ADVENTHEALTH MURRAY,0,,"9eb10388-3e12-3145-bc5b-9588fe12b225",
198,REDDY URGENT CARE ROYSTON,0,,"9eb6d461-ce3f-3afb-889f-991e3d4c05af",
199,URGENT CARE OF OCONEE  LLC,0,,"9f2345a8-b226-31c1-b9a6-ee51cd949b4d",
200,SPARLIN HEALTH CARE  LLC,0,,"9faf5c2a-8459-3413-a3b9-797058fee491",
201,SINCLAIR FAMILY HEALTH  LLC,0,,a06df648-901b-369b-9aac-69068e46d1c1,
202,HOSPICE OF NORTHEAST GA MC,0,,a0f41753-d478-32a5-9911-e8435b1b4727,
203,MERIWETHER HEALTHCARE LLC,0,,a0fe8894-656c-3c11-ba31-4ee66ad14f5e,
204,SOUTHEAST GEORGIA HEALTH SYSTEM  INC,0,,a266cf54-77ae-3056-8908-cebd08fa7bfe,
205,EAGLE EYE AND MEDICAL CLINIC INC,0,,a3eefc47-60ab-3fe4-a115-910d7047fe1e,
206,SANDY SPRINGS HEALTH AND REHABILITATION,0,,a43202b6-5465-3868-948c-0618d80fadfd,
207,GREEN ACRES HEALTH AND REHABILITATION,0,,a51bd822-89a1-31d3-a51b-08b1409f8cdb,
208,HUGHSTON HOSPITAL  INC.,0,,a590d4f8-c5ba-3a83-b0cb-2a2857b068d1,
209,SAMANTHA MEEKS FAMILY PRACTICE LLC,0,,a5a33e5a-aa50-3bff-8a48-1ccb52fb2e97,
210,GUARDIAN HOME CARE  LLC,0,,a7a40b42-7cf3-33b5-9e93-f082d8b00ccf,
211,THE HOSPITAL AUTHORITY OF HABERSHAM COUNTY,0,,a8531ad5-cedd-3be3-a25e-512535dc5f79,
212,EAST CENTRAL REGIONAL HOSPITAL,0,,a87a71e3-d358-333b-8042-311b9eaf9f8a,
213,MOUNTAIN INTERNAL MEDICINE,0,,a89ce59c-8a36-348a-b3b3-fc9a3e8db038,
214,FAMILY MEDICAL CENTER PC,0,,a9aa2bb4-a13d-3d0e-a2e0-8efdfca6643f,
215,ADVENTIST HEALTH SYSTEM GEORGIA INC,0,,aa43b7bc-8563-3aa6-8a05-8ac68f6af9d8,
216,WESTSIDE URGENT CARE LLC,0,,ae8b5080-7a9b-37b3-8516-f3474d8f5670,
217,SOUTHERN CROSS SURGERY CENTER  LLC,0,,af6b6346-d30c-39e1-a755-cdef73a1cdf0,
218,PRESTIGEHEALTH PRIMARY AND URGENT CARE LLC,0,,afb009b8-b0de-3f62-bd49-6eebf9739d59,
219,WEST CENTRAL GEORGIA REGIONAL HOSPITAL,0,,b15b23b1-ce10-382d-b412-2d9029d4004b,
220,HARMONY HOSPICE LLC,0,,b1660c6e-afd3-325e-8cde-5ae498b672d2,
221,ES REHABILITATION LLC,0,,b25ff105-fac0-30d6-b76f-9db436e32a81,
222,PIEDMONT ATHENS REGIONAL MEDICAL CENTER  INC.,0,,b37234a1-7edf-3d46-bcaa-d7b886d5348f,
223,JENCARE NEIGHBORHOOD MEDICAL CENTER EAST POINT,0,,b43ae200-2f9e-3341-a27f-f297b9b080d1,
224,BRIAN CENTER HEALTH & REHABILITATION/CANTON,0,,b4758d29-4ea7-3342-b30d-006068a3a664,
225,CHAPLINWOOD NURSING HOME,0,,b4df1664-4a6a-3cbe-9e9e-87c0897194f3,
226,FAMILY FIRST HEALTHCARE P.C.,0,,b5127533-471a-3b6f-b0b8-430d703ec212,
227,GRADY MEMORIAL HOSPITAL CORPORATION,0,,b56f456b-91cc-3e78-aecc-b509ce325b4b,
228,ST FRANCIS HOSPITAL- EMORY HEALTHCARE,0,,b866f279-685b-33d0-9363-125d8342fa07,
229,MORROW FAMILY MEDICINE  LLC,0,,b88489c2-987e-3007-9793-0275bb1e46d7,
230,OCEANSIDE HEALTH AND REHAB,0,,b8e81566-e792-397f-9624-e4ffba3c35a4,
231,HEARTLITE HOSPICE,0,,ba023d46-4f7c-3980-b51b-424b4b429906,
232,TRADITIONS HEALTH AND REHABILITATION,0,,ba28e47d-6c6e-3fad-a414-34e718aefd7c,
233,BUFORD FAMILY PRACTICE AND URGENT CARE CENTER  P C,0,,ba9ed7c0-dc71-3f57-a7bf-c974c62d419a,
234,BRYAN COUNTY HLTH & REHAB CTR,0,,baf4b66a-5410-3ab4-a5f9-f1b2c7196123,
235,COMPASSUS-KENNESAW,0,,bb167b1f-ac82-3374-b993-698359013cc3,
236,NORTH GEORGIA COMMUNITY HOSPICE  LLC,0,,bbb761cf-0b4d-32f7-bdab-cb45652a3817,
237,REGENCY HOSPITAL COMPANY OF MACON  LLC,0,,bbd58f64-3736-3094-b8ed-0679222d0458,
238,GP HEALTH CARE CENTER,0,,bc7e4135-b274-334d-a582-b327a1a4d181,
239,TRADITIONS HOSPICE OF ATLANTA LLC,0,,bc90fbb8-cb46-3afb-aff6-dd26d05c62f2,
240,URGENT CARE CENTER OF CENTRAL GEORGIA LLC,0,,bd12d5bd-8f4f-3f5b-9f37-e48fd96b9de1,
241,CHARLTON FAMILY CARE  INC,0,,bdc11806-85f0-3711-8848-c8a7e8f9b975,
242,PRUITTHEALTH HOSPICE-ATHENS,0,,bdd10a37-2ccd-3d8c-abe7-b4afcda3c3b1,
243,NORTH FULTON PRIMARY CARE WYLIE BRIDGE LLC,0,,bf4b3ad0-288e-3741-9222-4af7de128a43,
